"","track_id","X","pa1_intensity","pa2_involvement","pa3_technicality","length","song","liv_acoust"
"1","0017A6SJgTbfQVU2EtsPNo",12645,-1.7196419053091,0.191350878625071,0.739704607344364,3.924,1,0
"2","002xjHwzEx66OWFV2IP9dk",25676,-0.075550907165618,-0.361285612552891,0.628205137320432,3.2881,1,0
"3","004s3t0ONYlzxII9PLgU6z",15062,0.912105120601159,-2.04874931676372,0.505358450194209,6.2252,1,0
"4","008MceT31RotUANsKuzy3L",2888,0.335748494022663,0.142092386648597,-0.867918056779342,3.80941666666667,1,0
"5","008rk8F6ZxspZT4bUlkIQG",1030,0.928287542684813,0.0151896557239677,0.765239059613145,3.93846666666667,1,0
"6","00bc7A2CLjp40XNd6ZPZNa",412,0.14129082231793,0.792061512185428,-0.94186703359403,3.52578333333333,1,0
"7","00chLpzhgVjxs1zKC9UScL",24684,-0.261271154059905,1.16486318697532,-0.866396455668027,4.37445,1,0
"8","00cqd6ZsSkLZqGMlQCR0Zo",25779,-1.97030445776256,-1.22171060870137,-0.564281410674162,4.05111666666667,1,0
"9","00cWy7HXgoJlXWR718s70W",27439,0.0705819182353969,0.918022788686524,0.476018916162575,3.936,1,0
"10","00e5UrNnUkBSKOPRUew6bG",7117,-0.518087705923043,0.188934972961711,0.468617352220808,4.53445,1,0
"11","00emjlCv9azBN0fzuuyLqy",451,1.21372051730994,0.464890877352287,0.33981115396092,3.21933333333333,1,0
"12","00EPIEnX1JFjff8sC6bccd",19867,0.572675161785643,1.21587110084024,-0.798869635551001,3.62755,1,0
"13","00f9VGHfQhAHMCQ2bSjg3D",22343,-0.305073929757052,-0.975175553323807,0.584188292283095,3.74533333333333,1,0
"14","00FR9VQ0uzF4NNxVKKiMz2",25283,-0.638117385006977,-1.35061596043033,-0.549859582253807,4.82045,1,0
"15","00FROhC5g4iJdax5US8jRr",24387,-0.443167155910739,0.806586940620754,0.468749659908962,4.77401666666667,1,0
"16","00GfGwzlSB8DoA0cDP2Eit",24056,1.03594486090201,0.60200368687135,0.584954005382385,4.32111666666667,1,0
"17","00Gu3RMpDW2vO9PjlMVFDL",28697,0.334256800363198,-0.652266100576565,0.336672768699738,3.13333333333333,1,0
"18","00Gu3RMpDW2vO9PjlMVFDL",32085,0.334256800363198,-0.652266100576565,0.336672768699738,3.13333333333333,1,0
"19","00GxbkrW4m1Tac5xySEJ4M",23656,0.298005964082284,0.4385666413031,0.38245515788473,3.46888333333333,1,0
"20","00hdjyXt6MohKnCyDmhxOL",17883,1.18489572926221,0.830103842532816,0.737370319321156,3.13688333333333,1,0
"21","00HIh9mVUQQAycsQiciWsh",4473,-1.45419432336259,0.427085054031099,0.651979206452057,3.48608333333333,1,0
"22","00Hveeqs6yqFu6MvZ50rj9",20176,-0.928638354663749,0.780264178289524,0.576324652680597,2.7,1,0
"23","00i0O74dXdaKKdCrqHnfXm",18488,1.04020652424164,0.561508114090434,0.79687179102362,3.528,1,0
"24","00i0O74dXdaKKdCrqHnfXm",21199,1.04020652424164,0.561508114090434,0.79687179102362,3.528,1,0
"25","00i2HU7TEzzftShjRrDSEF",9643,-0.0585234301067511,1.09318703816104,0.392483664827738,4.48266666666667,1,0
"26","00Ia46AgCNfnXjzgH8PIKH",17854,-0.0284714307543235,1.13108273094415,-0.934210615797375,3.77898333333333,1,0
