"track_id","X","length","song","liv_acoust"
"3y3brCCecHC3Db18aIOnny",89,3.5886,1,0
"6XqvFyJGdUD5IWee02ARKU",90,3.22295,1,0
"575NJxNUVDqwJGdzBrlLbv",91,3.35421666666667,1,0
"70YPzqSEwJvAIQ6nMs1cjY",92,3.67883333333333,1,0
"7Ht0v0LWBCOEjmNQ0iMpNr",93,3.08436666666667,1,0
"6nDKrPlXdpomGBgAlO7UdP",94,2.62003333333333,1,0
"2b1BwUGGyKq0CoJd8G1B6M",95,2.66255,1,0
"09IStsImFySgyp0pIQdqAc",96,3.07886666666667,1,0
"1lGVyEkGHUz7Pg78QGaS4a",97,2.6833,1,0
"6ksMjdec8b6C45TUawkAdu",98,3.76821666666667,1,0
"1vsQb8n0icvMsFnL9663LM",99,3.42978333333333,1,0
"6pooRNiLyYpxZeIA5kJ5EX",100,3.61113333333333,1,0
"5WHTFyqSii0lmT9R21abT8",101,2.97466666666667,1,0
"1pBO9JDqh1y3TbCKEO1OvG",102,3.04446666666667,1,0
"1LjxmkW3xRQP2HzswhYyyc",103,3.73435,1,0
"7FCZhkhzEUVNUAlGauNKIe",104,2.97501666666667,1,0
"2JoIjuzRplpYGvvLpSW2on",105,2.56706666666667,1,0
"4PUWpNtDejQwwa80LjvxXl",106,3.298,1,0
"1nufXiTCTTAeJfO9hLHvO8",107,2.83465,1,0
"1NDxZ7cFAo481dtYWdrUnR",108,3.22688333333333,1,0
"1ahVFh0ViDZr8LvkEVlq3B",109,3.45158333333333,1,0
"0Ev562zA4pmUsBqjxsxxdx",110,4.13593333333333,1,0
"5l8AUgBTWuOECwVgYtaUyE",111,3.36786666666667,1,0
"35MKhw2YBKApmD7fAnPERC",112,3.11341666666667,1,0
"3Kuu5vASpXK8oRsxOvau6P",113,3.47611666666667,1,0
"7KW3XQV5Or5CF57MYVj5h4",114,3.07555,1,0
"3M9Apu4OZfylLTFKvgEtKa",115,3.3166,1,0
"5N4erncE7kuUccm7zEmwzk",116,3.96955,1,0
"6QcrReLyoun4xrPVsZ5OJE",117,3.59076666666667,1,0
"1kQhi22kyluRCnIPAXtxEZ",118,3.15275,1,0
